Location,Hospital,Address,State,District,Pincode
"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati 517501  Chittoor",Raghavendra Urological Super Speciality Hospital (Russh Hospital),"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati",Andhra Pradesh,Chittoor,517501
"535, Reddy and Reddy Colony, Tirupati",Rama Nursing Home,"535, Reddy and Reddy Colony , Tirupati",Andhra Pradesh,Chittoor,517501
"16-2-156, Sairam Street, Tirupathi, Chitoor Dst., Andhrapradesh",Ramadevi Multi Super Speciality Hospital,"16-2-156, Sairam Street, Tirupathi",Andhra Pradesh,Chittoor,517501
"-4-566, Nehru Nagar, Tirupathi, Chittoor",Ramya Hospital,"-4-566, Nehru Nagar, Tirupathi, Chittoor",Andhra Pradesh,Chittoor,517501
"576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati",Ravi Neuro and Emergency Hospital - Chittoor,"# 576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati",Andhra Pradesh,Chittoor,517501
"548, Reddy and Reddy Colony,Tirupati-517501",Sakthi Medicals,"548, Reddy and Reddy Colony,Tirupati",Andhra Pradesh,Chittoor,517501
"101, Sarojinideavi Road, Tirupati",Shyamala Nursing Home,"101, Sarojinideavi Road, Tirupati",Andhra Pradesh,Chittoor,517501
"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati",Sree Emergency and Crticial Care Hospital,"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati",Andhra Pradesh,Chittoor,517501
"10-13-496, Reddy and Reddy Colony, Tirupati",Sri Chakra Hospitals,"10-13-496, , Reddy and Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,517501
"6-1-46, R.S.Gardens Tirupathi",Sri Padmavathi Multi Speciality Hospital,"6-1-46, R.S.Gardens Tirupati",Andhra Pradesh,Chittoor,517501
T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati 517501  Chittoor,Sri Ramadevi Multi Super Speciality Hospital,T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati,Andhra Pradesh,Chittoor,517501
"6-2-105, Old Maternity Road, Beside Rajanna Park",Sri Sai Ortho Care,"6-2-105, Old Maternity Road, Beside Rajanna Park",Andhra Pradesh,Chittoor,517501
"521, Reddy and Reddy Colony, Chittor, Tirupati,",Sri Sai Sudha Hospitals,"521, Reddy and Reddy Colony, Chittor, Tirupati",Andhra Pradesh,Chittoor,517501
Tirupathi,Sri Suraksha Hospital,Tirupati,Andhra Pradesh,Chittoor,517501
"No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple, Chittoor",Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple,Andhra Pradesh,Chittoor,517501
Tirupati,Sri Venkateshwara Institute Of Medical Sciences,Tirupati,Andhra Pradesh,Chittoor,517501
"No. 20-03-88G, Siva Jyothi Nagar,",Sri Venkateswara Hospitals,"No. 20-03-88G, Siva Jyothi Nagar",Andhra Pradesh,Chittoor,517501
"10-2-138, Opp: Saibaba Temple, Beside Pasuparthy Super Market T. K. Street",Sri Vignesh Hospital,"10-2-138, Opp: Saibaba Temple, Beside Pasuparthy Super Market T. K. Street",Andhra Pradesh,Chittoor,517501
"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati",Srinivasa Super Speciality Hospital,"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati",Andhra Pradesh,Chittoor,517501
"515,Reddy Reddy Colony, Tirupati",Suguna Nursing Home,"515,Reddy Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,517501
"326,Nethaji Road,Tirupathi",Sviss Hospital,"326,Nethaji Road,Tirupati",Andhra Pradesh,Chittoor,517501
"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati",Swaranamrutha Hospital,"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati",Andhra Pradesh,Chittoor,517501
"Opp Bhavani Nagar Circle, Maternity Road",Swarnamrutha Hospital,"Opp Bhavani Nagar Circle, Maternity Road",Andhra Pradesh,Chittoor,517501
"Near New Municipal Office, Devendra Theatre, 18-1-664, Bhavani Nagar, 2Nd Street",Swetha Childrens Hospital,"Near New Municipal Office, Devendra Theatre, 18-1-664, Bhavani Nagar , 2Nd Street",Andhra Pradesh,Chittoor,517501
"525,Reddy  and Reddy Colony,Tirupathi-",Triveni Child Care Hospital,"525,Reddy  and Reddy Colony,Tirupathi",Andhra Pradesh,Chittoor,517501
"575/1A, 1St Floor, Above Vodafone Show Room, Opposite Municipal Office, Tilak Road, Triupati. []",Vaishnavi Children Hospital,"575/1A, 1St Floor, Above Vodafone Show Room, Opposite Municipal Office, Tilak Road, Triupati",Andhra Pradesh,Chittoor,517501
"Do No:13/5/531/D11, Tuda Office Road, Beside Tuda Office Tata Nagar",Vasan Healthcare Pvt Ltd,"Do No:13/5/531/D11, Tuda Office Road, Beside Tuda Office Tata Nagar",Andhra Pradesh,Chittoor,517501
"10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati 517501  Chittoor",Venkataramana Heart And Maternity Hospital,"10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati",Andhra Pradesh,Chittoor,517501
"6-2-88, Old Maternity Hospital Road, Tirupati",Vision Care Clinic,"6-2-88, Old Maternity Hospital Road, Tirupati",Andhra Pradesh,Chittoor,517501
"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony,",Elite Hospital,"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony",Andhra Pradesh,Chittoor,517502
13-7-936/6 Tuda Road,Maha Hospitals,13-7-936/6 Tuda Road,Andhra Pradesh,Chittoor,517502
"502,B, 1St Floor, Opp Sbi Kt Road",Vennela Super Speciality Eye and Dental Hospital,"502,B, 1St Floor, Opp Sbi Kt Road",Andhra Pradesh,Chittoor,517502
"19-4-395, Bairagipatteda North, Tirupathi",Radha Narayan Hospital For Women And Children,"19-4-395, Bairagipatteda North, Tirupati",Andhra Pradesh,Chittoor,517505
"K. T. Road, Tirupati",Manasa Kidney Foundation,"K. T. Road, Tirupati",Andhra Pradesh,Chittoor,517507
"V.V.Mahal Road, Tirupathi",Rushh Hospital,"V.V.Mahal Road, Tirupathi",Andhra Pradesh,Chittoor,517507
"140, T.Nagar OppositeBhavani Nagar Anjaneyaswamy Temple",S V Poly Clinic,"140, T.Nagar OppositeBhavani Nagar Anjaneyaswamy Temple",Andhra Pradesh,Chittoor,517507
"Sarojini Devi Layout, Rupa Hospital Road, Tripati",Sneha Super Speciality Hospital,"Sarojini Devi Layout, Rupa Hospital Road, Tirupati",Andhra Pradesh,Chittoor,517507
"6-1-12A, Beside Old Maternity Hospital, Tirupati",Swarna E.N.T Super Speciality Hosptial,"6-1-12A, Beside Old Maternity Hospital, Tirupati",Andhra Pradesh,Chittoor,517507
"91,Old M.H.Road,1/1,Tirupathi,Chittoor",Swarnamurtha Hospital,"91,Old M.H.Road,1/1,Tirupathi",Andhra Pradesh,Chittoor,517507
"3/260, Kabu Street,Upstairs Of Bank Of India, Puttur,",Sri Sai Nursing Home,"3/260, Kabu Street,Upstairs Of Bank Of India, Puttur",Andhra Pradesh,Chittoor,517583
"Nagari-517590, Chittoor",C.S.I. Hospital,Nagari-517590,Andhra Pradesh,Chittoor,517590
"6/420, Babu Agraharam,Babu Agraharam.",Annapurna Hospital ( Ramarao Hospital),"# 6/420, Babu Agraharam,Babu Agraharam",Andhra Pradesh,Chittoor,517644
"Door No-7/370, Nagarchipalem, Srikalahasti-517644",Chaitanya Childrens Hospital,"Door No-7/370, Nagarchipalem, Srikalahasti",Andhra Pradesh,Chittoor,517644
"7-723,,Kothapet.",Eswari Nursing Home,"# 7-723,Kothapet",Andhra Pradesh,Chittoor,517644
",Kothapet.",Sai Kanthi Eye Hospital,Kothapet,Andhra Pradesh,Chittoor,517644
"V R Temple Street, Nehru Road,",Vani Priya Hospital,"V R Temple Street, Nehru Road",Andhra Pradesh,Chittoor,517644
"3/224, Upendra Complex, Christian Lane",Abhishek Kidney and General Hospital ( Kcm Hospital),"3/224, Upendra Complex, Christian Lane",Andhra Pradesh,Y.S.R.,516001
"4/460, Nagarajupet, Near Dr. Thulasamma Hospital, Kadapa",Ashwini Childrens Hospital,"4/460, Nagarajupet, Near Dr. Thulasamma Hospital",Andhra Pradesh,Y.S.R.,516001
"6/1565, Sankara Puram Kadapa",Balaji Nursing Home,"6/1565, Sankara Puram",Andhra Pradesh,Y.S.R.,516001
"1/82,R.S.Road, Y.M.Pally, Kadapa,Gandhi Nagar, Yerramulekapally,Kadapa.",Bharathi Hospital,"1/82,R.S.Road, Y.M.Pally, Kadapa,Gandhi Nagar, Yerramulekapally",Andhra Pradesh,Y.S.R.,516001
Opposite Old Municipal Office,G. S. R. Heart Care Centre - Cuddapah,Opposite Old Municipal Office,Andhra Pradesh,Y.S.R.,516001
